                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,Path
1,2.2172,5.2569,1.8582,0.00099,0.2973,0.00114,0.00054,2.7284,5.1175,2.585,0.070789,0.0032456,0.0032456,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
2,1.8628,3.8192,1.5718,0.54799,0.08784,0.16849,0.07294,1.9299,3.3613,1.4864,0.040138,0.0059276,0.0059276,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
3,1.8778,2.8266,1.5305,0.35171,0.14865,0.1492,0.05841,2.1291,3.2088,1.662,0.0088268,0.0079496,0.0079496,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
4,1.9334,2.4868,1.5411,0.26888,0.12162,0.06706,0.03325,2.4602,3.6067,2.1801,0.00703,0.00703,0.00703,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
5,1.9886,2.3759,1.5683,0.33005,0.29054,0.21316,0.08231,2.035,2.6379,1.6697,0.00703,0.00703,0.00703,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
6,1.8751,2.0912,1.5214,0.33785,0.41216,0.33889,0.15799,1.8383,2.2391,1.5743,0.00604,0.00604,0.00604,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
7,1.8064,1.9504,1.4708,0.68371,0.61486,0.66464,0.29301,1.7748,1.7928,1.5096,0.00505,0.00505,0.00505,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
8,1.6751,1.6977,1.4165,0.58987,0.64189,0.61885,0.29616,1.6387,1.6454,1.3865,0.00406,0.00406,0.00406,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
9,1.6437,1.5907,1.3828,0.77532,0.7228,0.79107,0.37308,1.596,1.4306,1.3332,0.00307,0.00307,0.00307,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
10,1.5584,1.4307,1.3232,0.70447,0.68919,0.74771,0.36133,1.6748,1.4627,1.3456,0.00208,0.00208,0.00208,mlartifacts/206170964771990481/f5fac19607c84112b344b4d3b75e56cc/artifacts/results.csv
1,2.2744,5.3087,1.9105,0.00151,0.4527,0.0014,0.00059,2.2956,4.887,2.1468,0.070789,0.0032456,0.0032456,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
2,1.9036,3.5753,1.4958,0.79408,0.02623,0.07289,0.02676,2.5041,3.7609,2.0489,0.040138,0.0059276,0.0059276,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
3,1.9322,2.7566,1.5141,0.383,0.29054,0.26846,0.10227,1.8617,2.727,1.6724,0.0088268,0.0079496,0.0079496,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
4,1.8723,2.46,1.5558,0.22776,0.24324,0.13081,0.05452,2.1655,3.1403,1.652,0.00703,0.00703,0.00703,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
5,1.9222,2.4236,1.5672,0.35318,0.2973,0.23759,0.10886,2.1127,2.4932,1.7208,0.00703,0.00703,0.00703,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
6,1.8969,2.1305,1.5494,0.49146,0.46363,0.42561,0.16993,1.9923,2.2556,1.6184,0.00604,0.00604,0.00604,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
7,1.8684,2.0266,1.5122,0.18127,0.25676,0.12283,0.04256,2.4784,2.8923,1.8526,0.00505,0.00505,0.00505,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
8,1.7405,1.7345,1.4447,0.53305,0.43243,0.48061,0.2478,1.7993,1.9434,1.457,0.00406,0.00406,0.00406,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
9,1.6725,1.6017,1.3953,0.48271,0.47297,0.35094,0.16236,1.8977,2.1693,1.4866,0.00307,0.00307,0.00307,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
10,1.6006,1.5312,1.3543,0.63169,0.62162,0.61834,0.27694,1.7483,1.6539,1.4235,0.00208,0.00208,0.00208,mlartifacts/206170964771990481/52d901d5ab464659bb9cbb859553d4af/artifacts/results.csv
