                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,Path
1,2.2309,5.2351,1.8405,0.002,0.60135,0.01733,0.00945,2.2848,4.9074,1.8583,0.070789,0.0032456,0.0032456,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
2,1.9422,3.6382,1.5521,0.47123,0.0542,0.08651,0.03683,2.2414,3.6936,1.8604,0.040138,0.0059276,0.0059276,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
3,1.9237,2.7723,1.5546,0.24308,0.01351,0.01807,0.01152,2.7025,4.1161,2.4426,0.0088268,0.0079496,0.0079496,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
4,1.9635,2.4649,1.5621,0.0101,0.08108,0.00231,0.00098,2.7659,4.6497,2.7637,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
5,1.9273,2.349,1.5651,0.01003,0.02703,0.00137,0.00047,2.8138,4.6175,2.8656,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
6,1.8495,2.1488,1.5592,0.44164,0.4329,0.42289,0.18158,1.8937,2.2439,1.5913,0.00604,0.00604,0.00604,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
7,1.7773,1.9254,1.4393,0.52325,0.08108,0.10053,0.04081,2.6693,3.2001,1.9448,0.00505,0.00505,0.00505,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
8,1.6783,1.6738,1.3985,0.39471,0.37893,0.33911,0.13851,1.9906,2.2307,1.6003,0.00406,0.00406,0.00406,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
9,1.6963,1.6559,1.4235,0.69595,0.72973,0.74032,0.3627,1.6222,1.3624,1.3557,0.00307,0.00307,0.00307,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
10,1.6259,1.4889,1.3554,0.68705,0.68235,0.67626,0.30213,1.6991,1.5094,1.3753,0.00208,0.00208,0.00208,../../mlartifacts/818526551103375648/55b2868c2f4143139f0112540af12485/artifacts/results.csv
1,2.2738,5.3136,1.8532,0.00241,0.72297,0.0197,0.00585,2.2743,4.6443,1.6839,0.070789,0.0032456,0.0032456,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
2,1.8551,3.52,1.4595,0.11203,0.00676,0.09805,0.03768,2.0596,3.4319,1.5846,0.040138,0.0059276,0.0059276,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
3,1.875,2.6708,1.453,0.45952,0.28725,0.2757,0.10382,2.0477,2.8892,1.5618,0.0088268,0.0079496,0.0079496,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
4,1.9503,2.503,1.5262,0.17678,0.20946,0.11393,0.04458,2.2973,3.2152,1.7878,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
5,1.8888,2.3038,1.4745,0.0817,0.02703,0.01215,0.00457,2.8096,3.8401,2.4415,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
6,1.9373,2.1472,1.5448,0.36945,0.46622,0.35088,0.12822,2.0612,2.1664,1.6157,0.00604,0.00604,0.00604,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
7,1.8292,2.0399,1.469,0.50625,0.47973,0.50899,0.21293,1.916,2.0696,1.4867,0.00505,0.00505,0.00505,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
8,1.7281,1.7546,1.4037,0.54955,0.66772,0.59767,0.26431,1.7282,1.7543,1.3941,0.00406,0.00406,0.00406,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
9,1.6577,1.6422,1.3528,0.73538,0.75676,0.79802,0.38018,1.688,1.4256,1.3625,0.00307,0.00307,0.00307,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
10,1.5823,1.4908,1.3215,0.7528,0.77027,0.80331,0.41217,1.5544,1.3542,1.2977,0.00208,0.00208,0.00208,../../mlartifacts/818526551103375648/986fd203cb6648c5a1ddc87b8b15375e/artifacts/results.csv
1,2.1949,5.1149,1.8288,0.00225,0.67568,0.04546,0.02625,2.047,4.3365,1.6604,0.070789,0.0032456,0.0032456,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
2,1.8967,3.5405,1.497,0.3688,0.02703,0.06108,0.0243,2.2977,3.8006,1.9535,0.040138,0.0059276,0.0059276,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
3,1.9078,2.7853,1.5569,1.0,0.01995,0.03585,0.01194,2.799,3.9649,2.4634,0.0088268,0.0079496,0.0079496,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
4,1.9518,2.6194,1.5666,0.00103,0.30405,0.00346,0.001,3.4933,4.2701,2.6137,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
5,1.9421,2.5543,1.5459,0.21657,0.21622,0.12963,0.04865,2.3095,3.2783,1.7922,0.00703,0.00703,0.00703,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
6,1.9453,2.2367,1.5726,0.59214,0.39189,0.44931,0.20435,1.9152,2.5445,1.6231,0.00604,0.00604,0.00604,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
7,1.8381,1.9939,1.4819,0.36523,0.40541,0.35958,0.14658,2.0726,2.2691,1.7873,0.00505,0.00505,0.00505,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
8,1.721,1.7198,1.4347,0.49447,0.57432,0.50285,0.22644,1.8378,2.0179,1.5169,0.00406,0.00406,0.00406,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
9,1.6849,1.6252,1.4343,0.65288,0.67356,0.68147,0.33107,1.6578,1.5046,1.3937,0.00307,0.00307,0.00307,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
10,1.601,1.5143,1.3665,0.70863,0.69595,0.70729,0.36748,1.5879,1.4595,1.3355,0.00208,0.00208,0.00208,../../mlartifacts/818526551103375648/6ce74df059064fe8a18d996f3f950185/artifacts/results.csv
